Frame,Prediction,Confidence,FPS
193,crocodile,0.9748,0.85
194,crocodile,0.9901,0.89
195,crocodile,0.992,0.79
196,crocodile,0.9952,0.76
197,crocodile,0.9969,0.92
198,crocodile,0.9973,0.78
199,crocodile,0.9973,0.89
200,crocodile,0.9923,0.69
201,crocodile,0.9976,0.93
202,crocodile,0.9962,0.82
203,crocodile,0.9957,0.84
204,crocodile,0.9988,0.87
205,crocodile,0.989,0.74
206,crocodile,0.9978,0.92
207,crocodile,0.9925,0.88
208,crocodile,0.9957,0.82
209,crocodile,0.984,0.78
210,crocodile,0.994,0.89
211,crocodile,0.9983,0.89
212,crocodile,0.9976,0.79
213,crocodile,0.9946,0.87
214,crocodile,0.9981,0.89
215,crocodile,0.9963,0.86
216,crocodile,0.9955,0.8
217,crocodile,0.9919,0.9
218,crocodile,0.9436,0.85
219,crocodile,0.9708,0.87
220,crocodile,0.9478,0.79
221,crocodile,0.9977,0.8
222,crocodile,0.9999,0.87
223,crocodile,0.9988,0.86
224,crocodile,0.9996,0.86
225,crocodile,0.9997,0.8
226,crocodile,0.9998,0.89
227,crocodile,0.9989,0.89
228,crocodile,0.9995,0.87
229,crocodile,0.999,0.85
230,crocodile,0.9995,0.73
231,crocodile,0.9995,0.81
232,crocodile,0.9987,0.9
233,crocodile,0.9984,0.89
234,crocodile,0.9981,0.76
235,crocodile,0.9992,0.9
236,crocodile,0.9989,0.89
237,crocodile,0.999,0.86
238,crocodile,0.9977,0.8
239,crocodile,0.9974,0.87
240,crocodile,0.9985,0.88
241,crocodile,0.9957,0.88
242,crocodile,0.9982,0.77
243,crocodile,0.9984,0.86
244,crocodile,0.9963,0.88
245,crocodile,0.9977,0.87
246,crocodile,0.9953,0.75
247,crocodile,0.9892,0.91
248,crocodile,0.9916,0.88
249,crocodile,0.9877,0.85
250,crocodile,0.9857,0.75
251,crocodile,0.9668,0.92
252,crocodile,0.9912,0.82
253,crocodile,0.9941,0.79
254,crocodile,0.9973,0.92
255,crocodile,0.9989,0.86
256,crocodile,0.9986,0.84
257,crocodile,0.9946,0.68
258,crocodile,0.9784,0.87
259,crocodile,0.9784,0.85
260,crocodile,0.954,0.76
261,crocodile,0.9972,0.88
262,crocodile,0.9775,0.88
263,crocodile,0.9743,0.8
264,crocodile,0.9621,0.86
265,crocodile,0.9718,0.91
266,crocodile,0.9201,0.79
267,crocodile,0.9423,0.9
268,crocodile,0.9507,0.89
269,crocodile,0.9208,0.73
270,crocodile,0.9457,0.9
271,crocodile,0.9595,0.91
272,crocodile,0.9729,0.88
273,crocodile,0.9474,0.71
274,crocodile,0.9743,0.89
275,crocodile,0.9626,0.88
276,crocodile,0.9502,0.82
277,crocodile,0.8669,0.73
278,crocodile,0.8001,0.81
279,crocodile,0.8562,0.87
280,crocodile,0.8806,0.78
281,crocodile,0.7298,0.86
282,crocodile,0.8009,0.74
283,crocodile,0.7228,0.92
284,crocodile,0.8583,0.88
285,crocodile,0.9267,0.85
286,crocodile,0.8821,0.8
287,crocodile,0.8426,0.79
288,crocodile,0.8206,0.89
289,crocodile,0.857,0.88
290,crocodile,0.8569,0.76
291,crocodile,0.9282,0.75
292,crocodile,0.9287,0.9
293,crocodile,0.885,0.88
294,crocodile,0.7887,0.83
295,crocodile,0.8264,0.75
296,crocodile,0.7302,0.89
297,crocodile,0.77,0.88
298,crocodile,0.6557,0.83
299,crocodile,0.6041,0.78
300,non-crocodile,0.9247,0.93
301,non-crocodile,0.9368,0.87
302,non-crocodile,0.9304,0.75
303,non-crocodile,0.9588,0.94
304,non-crocodile,0.9394,0.88
305,non-crocodile,0.8081,0.86
306,non-crocodile,0.8463,0.72
307,non-crocodile,0.8677,0.79
308,non-crocodile,0.8109,0.92
309,non-crocodile,0.8553,0.74
310,non-crocodile,0.8539,0.8
311,non-crocodile,0.8489,0.85
312,non-crocodile,0.8892,0.81
313,non-crocodile,0.7295,0.85
314,non-crocodile,0.8272,0.77
315,non-crocodile,0.88,0.76
316,non-crocodile,0.971,0.9
317,non-crocodile,0.9041,0.77
318,non-crocodile,0.9641,0.86
319,non-crocodile,0.9555,0.75
320,non-crocodile,0.9548,0.92
321,non-crocodile,0.9383,0.86
322,non-crocodile,0.928,0.86
323,non-crocodile,0.9152,0.77
324,non-crocodile,0.9336,0.89
325,non-crocodile,0.9487,0.9
326,non-crocodile,0.9075,0.87
327,non-crocodile,0.9046,0.73
328,non-crocodile,0.9378,0.87
329,non-crocodile,0.937,0.88
330,non-crocodile,0.9384,0.88
331,non-crocodile,0.8836,0.78
332,non-crocodile,0.8919,0.8
333,non-crocodile,0.88,0.88
334,non-crocodile,0.9282,0.88
335,non-crocodile,0.9026,0.78
336,non-crocodile,0.7434,0.88
337,non-crocodile,0.8732,0.75
338,non-crocodile,0.6858,0.9
339,non-crocodile,0.5279,0.78
340,crocodile,0.7853,0.89
341,crocodile,0.9763,0.78
342,crocodile,0.9709,0.88
343,crocodile,0.9838,0.81
344,crocodile,0.9922,0.88
345,crocodile,0.9914,0.75
346,crocodile,0.9926,0.76
347,crocodile,0.9935,0.93
348,crocodile,0.9944,0.92
349,crocodile,0.9955,0.84
350,crocodile,0.9931,0.8
351,crocodile,0.9852,0.89
352,crocodile,0.9723,0.88
353,crocodile,0.9566,0.83
354,crocodile,0.7132,0.76
355,non-crocodile,0.7621,0.9
356,non-crocodile,0.84,0.89
357,non-crocodile,0.722,0.79
358,non-crocodile,0.5128,0.73
359,crocodile,0.6892,0.93
360,crocodile,0.7597,0.86
361,crocodile,0.8626,0.8
362,crocodile,0.9477,0.75
363,crocodile,0.9109,0.9
364,crocodile,0.9566,0.87
365,crocodile,0.8381,0.73
366,crocodile,0.8012,0.94
367,crocodile,0.7544,0.91
368,crocodile,0.7824,0.89
369,crocodile,0.9478,0.78
370,crocodile,0.9476,0.7
371,crocodile,0.9396,0.94
372,crocodile,0.9779,0.9
373,crocodile,0.976,0.87
374,crocodile,0.9574,0.67
375,crocodile,0.9504,0.89
376,crocodile,0.9473,0.91
377,crocodile,0.9619,0.84
378,crocodile,0.9916,0.73
379,crocodile,0.9919,0.9
380,crocodile,0.995,0.81
381,crocodile,0.9944,0.88
382,crocodile,0.999,0.77
383,crocodile,0.9976,0.74
384,crocodile,0.9989,0.92
385,crocodile,0.995,0.86
386,crocodile,0.7746,0.85
387,crocodile,0.7686,0.75
388,crocodile,0.7286,0.87
389,crocodile,0.7037,0.87
390,crocodile,0.5318,0.83
391,non-crocodile,0.5422,0.78
392,crocodile,0.6917,0.76
393,crocodile,0.8057,0.89
394,non-crocodile,0.6921,0.91
395,non-crocodile,0.7009,0.79
396,non-crocodile,0.6445,0.75
397,non-crocodile,0.7177,0.78
398,non-crocodile,0.6772,0.94
399,crocodile,0.5347,0.72
400,crocodile,0.7473,0.9
401,crocodile,0.6839,0.84
402,crocodile,0.7972,0.76
403,crocodile,0.9614,0.85
404,crocodile,0.9732,0.87
405,crocodile,0.9747,0.84
406,crocodile,0.9813,0.78
407,crocodile,0.9961,0.85
408,crocodile,0.9965,0.88
409,crocodile,0.9958,0.84
410,crocodile,0.9928,0.78
411,crocodile,0.9819,0.89
412,crocodile,0.9824,0.84
413,crocodile,0.993,0.74
414,crocodile,0.9926,0.91
415,crocodile,0.9945,0.9
416,crocodile,0.9847,0.82
417,crocodile,0.9822,0.78
418,crocodile,0.988,0.92
419,crocodile,0.9689,0.86
420,crocodile,0.956,0.74
421,crocodile,0.9828,0.92
422,crocodile,0.9799,0.89
423,crocodile,0.992,0.85
424,crocodile,0.9965,0.71
425,crocodile,0.9991,0.94
426,crocodile,0.9988,0.88
427,crocodile,0.9985,0.82
428,crocodile,0.9986,0.71
429,crocodile,0.9996,0.92
430,crocodile,0.9998,0.89
431,crocodile,0.9999,0.77
432,crocodile,0.9996,0.79
433,crocodile,0.9974,0.85
434,crocodile,0.9946,0.84
435,crocodile,0.9834,0.91
436,crocodile,0.8289,0.77
437,crocodile,0.716,0.87
438,non-crocodile,0.6102,0.75
439,non-crocodile,0.5397,0.93
440,non-crocodile,0.6412,0.91
441,crocodile,0.5468,0.78
442,crocodile,0.6846,0.87
443,crocodile,0.7892,0.78
444,crocodile,0.9084,0.92
445,crocodile,0.8589,0.87
446,non-crocodile,0.58,0.76
447,non-crocodile,0.8304,0.77
448,non-crocodile,0.9422,0.9
449,non-crocodile,0.9639,0.91
450,non-crocodile,0.9552,0.8
451,non-crocodile,0.9747,0.79
452,non-crocodile,0.9808,0.91
453,non-crocodile,0.9618,0.89
454,non-crocodile,0.9264,0.85
455,non-crocodile,0.9593,0.78
456,non-crocodile,0.7729,0.94
457,non-crocodile,0.571,0.9
458,crocodile,0.6715,0.84
459,crocodile,0.8759,0.77
460,crocodile,0.7901,0.9
461,crocodile,0.8834,0.83
462,crocodile,0.7092,0.76
463,crocodile,0.9889,0.89
464,crocodile,0.974,0.87
465,crocodile,0.9784,0.75
466,crocodile,0.9788,0.92
467,crocodile,0.9973,0.84
468,crocodile,0.9892,0.87
469,crocodile,0.9924,0.84
470,crocodile,0.9985,0.79
471,crocodile,0.9965,0.86
472,crocodile,0.9913,0.88
473,crocodile,0.9687,0.83
474,crocodile,0.9788,0.77
475,crocodile,0.9972,0.89
476,crocodile,0.9924,0.88
477,crocodile,0.977,0.84
478,crocodile,0.9882,0.77
479,crocodile,0.9977,0.91
480,crocodile,0.9949,0.88
481,crocodile,0.9972,0.87
482,crocodile,0.9933,0.78
483,crocodile,0.9919,0.79
484,crocodile,0.9898,0.85
485,crocodile,0.9504,0.85
486,crocodile,0.8899,0.79
487,crocodile,0.8931,0.75
488,crocodile,0.9089,0.86
489,crocodile,0.8278,0.89
490,crocodile,0.8769,0.83
491,crocodile,0.6737,0.76
492,crocodile,0.9695,0.86
493,crocodile,0.9837,0.78
494,crocodile,0.9841,0.86
495,crocodile,0.9939,0.78
496,crocodile,0.9918,0.87
497,crocodile,0.9938,0.78
498,crocodile,0.9975,0.87
499,crocodile,0.998,0.87
500,crocodile,0.9974,0.73
501,crocodile,0.9981,0.87
502,crocodile,0.9865,0.84
503,crocodile,0.9822,0.84
504,crocodile,0.9773,0.77
505,crocodile,0.9692,0.89
506,crocodile,0.9534,0.86
507,crocodile,0.7806,0.76
508,crocodile,0.7949,0.9
509,crocodile,0.8,0.82
510,crocodile,0.7757,0.88
511,crocodile,0.6925,0.75
512,crocodile,0.861,0.91
513,crocodile,0.8289,0.84
514,crocodile,0.7549,0.88
515,non-crocodile,0.7096,0.79
516,non-crocodile,0.6131,0.87
517,non-crocodile,0.5532,0.85
518,non-crocodile,0.6174,0.85
519,non-crocodile,0.6865,0.79
520,non-crocodile,0.6788,0.93
521,non-crocodile,0.83,0.91
522,non-crocodile,0.8479,0.82
523,non-crocodile,0.7899,0.75
524,non-crocodile,0.7051,0.89
525,non-crocodile,0.7967,0.9
526,non-crocodile,0.9165,0.83
527,non-crocodile,0.9311,0.77
528,non-crocodile,0.8209,0.92
529,non-crocodile,0.9219,0.87
530,non-crocodile,0.8666,0.76
531,non-crocodile,0.9821,0.91
532,non-crocodile,0.9802,0.87
533,non-crocodile,0.9611,0.86
534,non-crocodile,0.8799,0.73
535,non-crocodile,0.928,0.91
536,non-crocodile,0.9493,0.88
537,non-crocodile,0.7186,0.86
538,non-crocodile,0.5946,0.78
539,crocodile,0.6519,0.88
540,crocodile,0.6659,0.88
541,crocodile,0.6936,0.87
542,crocodile,0.941,0.77
543,crocodile,0.9458,0.74
544,crocodile,0.9829,0.87
545,crocodile,0.9941,0.87
546,non-crocodile,0.5585,0.77
547,crocodile,0.5077,0.84
548,crocodile,0.664,0.8
549,crocodile,0.682,0.88
550,crocodile,0.6489,0.8
551,crocodile,0.7063,0.86
552,crocodile,0.7427,0.76
553,crocodile,0.734,0.87
554,crocodile,0.7299,0.89
555,crocodile,0.7556,0.74
556,crocodile,0.7912,0.88
557,crocodile,0.8379,0.86
558,crocodile,0.8711,0.8
559,crocodile,0.8414,0.79
560,crocodile,0.8214,0.76
561,crocodile,0.8,0.9
562,crocodile,0.8287,0.9
563,crocodile,0.8118,0.88
564,crocodile,0.854,0.7
565,crocodile,0.8869,0.8
566,crocodile,0.876,0.91
567,crocodile,0.8616,0.79
568,crocodile,0.8468,0.72
569,crocodile,0.8532,0.91
570,crocodile,0.8346,0.84
571,crocodile,0.8626,0.92
572,crocodile,0.8748,0.75
573,crocodile,0.9086,0.91
574,crocodile,0.9193,0.77
575,crocodile,0.9197,0.93
576,crocodile,0.9358,0.8
577,crocodile,0.9493,0.91
578,crocodile,0.9582,0.8
579,crocodile,0.9732,0.88
580,crocodile,0.9599,0.78
581,crocodile,0.9432,0.88
582,crocodile,0.941,0.77
583,crocodile,0.9491,0.87
584,crocodile,0.9446,0.77
585,crocodile,0.9718,0.88
586,crocodile,0.9741,0.89
587,crocodile,0.962,0.87
588,crocodile,0.9697,0.84
589,crocodile,0.9837,0.72
590,crocodile,0.9863,0.91
591,crocodile,0.9847,0.88
592,crocodile,0.9742,0.85
593,crocodile,0.9837,0.69
594,crocodile,0.9797,0.93
595,crocodile,0.9788,0.87
596,crocodile,0.9805,0.86
597,crocodile,0.976,0.8
598,crocodile,0.974,0.83
